alpha_constrained;sigma_constrained;p_value_constrained;alpha;sigma;p_value;x_min
3.038345492;0.045556018;0;3.250737885;0.079725226;0;3
3.036537003;0.0455156;0.01;3.036537003;0.0455156;0;2
3.030669587;0.045384466;0.03;3.030669587;0.045384466;0.02;2
3.018841891;0.045120123;0;3.268635976;0.079564537;0;3
3.016274955;0.045062753;0;3.422661595;0.12068137;1;4
3.036103887;0.04550592;0;3.315773185;0.081267707;0;3
2.986349124;0.044393925;0;3.865886872;0.178769111;1;5
3.049681837;0.04580938;0.03;3.049681837;0.04580938;0;2
3.026128835;0.045282982;0;3.271478588;0.079860934;0;3
3.018528285;0.045113114;0;3.244478489;0.078960478;0;3
3.044669561;0.045697358;0;3.250169853;0.079905874;0;3
3.027116982;0.045305067;0;3.274424698;0.079964514;0;3
3.016883072;0.045076344;0;3.520618174;0.124181944;1;4
3.024184816;0.045239534;0;3.270346278;0.079771837;0;3
3.037740282;0.045542492;0;3.239587288;0.079429976;0;3
3.004995229;0.044810657;0;3.274119233;0.079270813;0;3
3.037467651;0.045536399;0;3.500161253;0.122580491;1;4
3.032436248;0.04542395;0;3.348104095;0.081949398;0;3
3.011210466;0.044949564;0;3.479683261;0.120852367;1;4
3.040697124;0.045608576;0;3.35145927;0.118165274;1;4
3.029178182;0.045351134;0;3.474198316;0.12174734;1;4
2.991810855;0.044515992;0;3.689080078;0.128931521;1;4
3.022029474;0.045191364;0;3.022029474;0.045191364;0;2
3.005628059;0.0448248;0;3.005628059;0.0448248;0;2
3.040962554;0.045614509;0;3.239450196;0.079525208;0;3
3.01813135;0.045104242;0;3.481787587;0.160870396;1;5
3.028722295;0.045340945;0;3.269633733;0.079894891;0;3
3.011993582;0.044967066;0;3.011993582;0.044967066;0;2
3.031250211;0.045397442;0.04;3.031250211;0.045397442;0;2
