p_value,run,p_value_constrained,type,nu2,sigma_constrained,nu1,alpha_constrained,x_min,alpha,sigma
0.5124,92,0.5276,control,0.2,0.0595952598942,0.0,2.54143344204,2.0,2.54143344204,0.0595952598942
0.3364,93,0.0444,control,0.2,0.0604579750769,0.0,2.56374759984,3.0,2.70256226046,0.0934402433031
0.724,94,0.0004,control,0.2,0.0576341642845,0.0,2.49293623944,3.0,2.71135310071,0.0905744108919
0.3896,95,0.1076,control,0.2,0.0582021310263,0.0,2.47010794833,3.0,2.57711708092,0.0870817230223
0.9004,96,0.0044,control,0.2,0.0600062657075,0.0,2.55090369957,3.0,2.73684107772,0.0941934325372
0.9036,97,0.2944,control,0.2,0.0591835735507,0.0,2.53763434545,3.0,2.62226096153,0.0890331369762
0.2388,98,0.2816,control,0.2,0.0600347448589,0.0,2.52587489701,2.0,2.52587489701,0.0600347448589
0.3416,99,0.3892,control,0.2,0.0583125844001,0.0,2.51050980868,2.0,2.51050980868,0.0583125844001
0.5424,0,0.0008,control,0.4,0.0586004640277,0.0,2.52361206472,3.0,2.73742443162,0.0924737717289
0.3148,1,0.3716,control,0.4,0.0592939581025,0.0,2.52328936467,2.0,2.52328936467,0.0592939581025
0.2392,2,0.0836,control,0.4,0.0584562574675,0.0,2.4834535112,3.0,2.59885424884,0.0880140296847
0.8528,3,0.0004,control,0.4,0.0595401011576,0.0,2.56512342622,3.0,2.80396885863,0.095610158287
0.1144,4,0.1664,control,0.4,0.0576702238559,0.0,2.50053445317,2.0,2.50053445317,0.0576702238559
0.4152,5,0.0156,control,0.4,0.0578746578181,0.0,2.47892117419,3.0,2.63297863681,0.0884307510817
0.0556,6,0.0092,control,0.4,0.0577062615833,0.0,2.49257443591,3.0,2.65466274073,0.0886992332634
0.0216,7,0.0448,control,0.4,0.0606797000737,0.0,2.56948252449,2.0,2.56948252449,0.0606797000737
0.242,8,0.294,control,0.4,0.0595284609387,0.0,2.52931385161,2.0,2.52931385161,0.0595284609387
0.3564,9,0.048,control,0.4,0.0576815028909,0.0,2.47285626108,5.0,2.80687616822,0.150052898426
0.844,10,0.0104,control,0.4,0.0585420681358,0.0,2.54333591626,4.0,2.80327908092,0.124735422266
0.1328,11,0.0172,control,0.4,0.0581527540547,0.0,2.49170599152,3.0,2.6368001216,0.0887679499341
0.7304,12,0.7452,control,0.4,0.0617556818995,0.0,2.57567779851,2.0,2.57567779851,0.0617556818995
0.8384,13,0.0032,control,0.4,0.0577754834997,0.0,2.48090184223,4.0,2.8112291338,0.124103375339
0.1008,14,0.136,control,0.4,0.0582739218505,0.0,2.49026369444,2.0,2.49026369444,0.0582739218505
0.6772,15,0.0992,control,0.4,0.0596823489554,0.0,2.56431523923,3.0,2.68232783493,0.0915065707888
0.6772,16,0.6892,control,0.4,0.0602078375969,0.0,2.56887346137,2.0,2.56887346137,0.0602078375969
0.5024,17,0.0132,control,0.4,0.0597739837331,0.0,2.516893655,3.0,2.68159513648,0.0924288278986
0.532,18,0.0104,control,0.4,0.0580878670486,0.0,2.4820945969,3.0,2.64044363788,0.0889655473478
0.5832,19,0.0,control,0.4,0.0584638549196,0.0,2.51216961355,3.0,2.78826416504,0.0942497969932
0.6244,20,0.0004,control,0.4,0.0588737300035,0.0,2.50445132962,3.0,2.73602555092,0.0931947345092
0.0952,21,0.1536,control,0.4,0.0578022976975,0.0,2.49617537902,2.0,2.49617537902,0.0578022976975
0.4892,22,0.5116,control,0.4,0.0603331479311,0.0,2.54410431132,2.0,2.54410431132,0.0603331479311
0.1,23,0.0272,control,0.4,0.0582179955577,0.0,2.52148473854,3.0,2.66362529047,0.0893080848871
0.4848,24,0.5116,control,0.4,0.0614047470952,0.0,2.58704842433,2.0,2.58704842433,0.0614047470952
