f_exp_all,f_pv_all,f_exp,f_pv,f_kmin,00_exp_all,00_pv_all,00_exp,00_pv,00_kmin,02_exp_all,02_pv_all,02_exp,02_pv,02_kmin,04_exp_all,04_pv_all,04_exp,04_pv,04_kmin,06_exp_all,06_pv_all,06_exp,06_pv,06_kmin,08_exp_all,08_pv_all,08_exp,08_pv,08_kmin,10_exp_all,10_pv_all,10_exp,10_pv,10_kmin
1.7546849685,0.1452,2.3605885567,0.89,3,1.89040114,0.0868,3.8511112428,0.7804,10,1.8478460102,0.0008,3.0620146994,0.7176,4,1.819488036,0.1364,2.5843655062,0.3396,3,1.7892940145,0.0412,2.788743195,0.9988,5,1.7661911572,0.006,2.4831812822,0.7732,3,1.7537502677,0.2204,2.3456036753,0.5648,3
1.7366840236,0.1184,2.1657294963,0.4708,2,1.8850542415,0.0736,2.8531308795,0.6992,3,1.8472677479,0.0008,2.9066679586,0.6484,4,1.8147878406,0.0268,2.738054717,0.8176,4,1.7963606294,0.1484,2.4989959851,0.8388,3,1.7684331053,0.0304,2.7377288324,0.9436,6,1.7578739032,0.2128,2.5162984663,0.5684,5
1.7509625501,0.2312,2.6230575495,0.9936,5,1.8908035541,0.0056,2.7989062218,0.6428,3,1.8488607506,0.2044,3.18972017,0.9992,6,1.821593301,0.1996,2.5200405751,0.5624,3,1.7867700192,0.1136,2.8444452407,0.9492,6,1.7678923687,0.0036,2.476561023,0.4916,3,1.7509170618,0.0156,2.5327374276,0.9392,4
1.7383864567,0.0948,2.4195186039,0.6344,3,1.8905410836,0.0956,3.0834620241,0.404,4,1.8495940965,0.0956,2.8481218529,0.784,4,1.8208434239,0.1,2.5648391421,0.7108,3,1.7923029936,0.1076,2.4712782096,0.702,3,1.7648641646,0.0116,2.5791848893,0.948,4,1.7511892994,0.0156,2.5220278472,0.89,4
1.7651797042,0.1796,2.4554346287,0.4776,3,1.8795361485,0.0016,2.9010632435,0.8352,3,1.8445057585,0.0228,2.9002792286,0.5544,4,1.8224751192,0.042,2.8077378509,0.3328,4,1.7902301899,0.284,3.0688606364,0.79,7,1.7727240633,0.006,2.4386980017,0.9644,3,1.755462368,0.0932,2.5962490471,0.8564,5
1.7588457722,0.1764,2.5303267646,0.994,4,1.8873094559,0.0156,3.07326565,0.906,4,1.8433040943,0.0068,2.7116868027,0.8052,3,1.8209930077,0.168,2.965475298,0.9324,7,1.7869577055,0.2996,2.7645750356,0.1748,5,1.7767149582,0.0232,2.4307971336,0.4284,3,1.7557238623,0.1088,2.5253617559,0.8772,5
1.7688337886,0.1984,2.4649070464,0.8828,4,1.8862376515,0.0012,2.8617303234,0.7216,3,1.8483910412,0.066,2.7991026384,0.9468,4,1.8130763011,0.1364,3.1089360218,0.9504,6,1.7899672829,0.0436,2.4767091724,0.8672,3,1.7662236127,0.402,2.2054748372,0.5444,2,1.7484495429,0.0036,2.523595038,0.7296,4
1.7489344967,0.1492,2.2946124642,0.8084,3,1.8903091391,0.0124,3.3345910358,0.356,5,1.8387545255,0.0012,2.9085332986,0.9776,4,1.8140936588,0.0236,2.5953274795,0.302,3,1.7888335637,0.1704,2.9714800122,0.502,7,1.7767740326,0.0672,2.6708979812,0.8892,5,1.7544808063,0.248,2.3315961853,0.564,3
1.7483581375,0.0584,2.3689777577,0.9292,3,1.8974385461,0.04,3.0782358634,0.2388,4,1.8499774952,0.1124,2.8062509685,0.7964,4,1.8214321123,0.2028,2.9403062778,0.948,5,1.7978133977,0.2432,2.4559312038,0.3528,3,1.771523175,0.092,2.4420202066,0.5796,3,1.7474167717,0.0008,2.5076096299,0.974,4
1.7628965781,0.1188,2.4296044084,0.7584,6,1.8876975703,0.1164,2.7522515501,0.7216,3,1.8489020006,0.0812,2.6731213703,0.3996,3,1.820221235,0.0484,2.5517197191,0.7088,3,1.7939086844,0.2192,2.6086377493,0.9716,4,1.7680506162,0.0104,2.7238641988,0.954,5,1.751309728,0.124,2.4937909486,0.858,4
1.7497006491,0.614,2.5078952555,0.3796,4,1.8903752777,0.0164,3.0631891621,0.3744,4,1.8566496589,0.004,2.6895382086,0.844,3,1.8221396406,0.1704,2.5327278088,0.8444,3,1.7890504355,0.0884,3.0096338201,0.4252,6,1.7660650467,0.008,2.6041071647,0.66,4,1.7482000058,0.0512,2.36749282,0.1844,3
1.7433635738,0.5852,2.9585922653,0.9268,7,1.8842275929,0.092,3.3143607908,0.9792,5,1.8500012848,0.0052,2.7621254346,0.154,3,1.8194366378,0.0008,2.8088690002,0.2924,4,1.7829240145,0.0688,2.4673090725,0.172,3,1.7672904816,0.314,2.3908678431,0.4424,3,1.7427856349,0.0236,2.424724499,0.5628,3
1.7301522533,0.312,2.3173519691,0.3676,3,1.8939064138,0.1164,2.9857722489,0.6904,4,1.8577548864,0.1184,2.8387212726,0.942,4,1.8095707776,0.0148,2.9749362966,0.842,6,1.7896192025,0.2764,2.8953729947,0.7868,9,1.7705754783,0.0028,2.5874252578,0.9348,4,1.7503267894,0.1644,2.3708264617,0.3456,3
1.7588628411,0.2664,2.1876862807,0.6236,2,1.8894012693,0.0504,3.2260679644,0.9824,6,1.8437382592,0.0692,3.0192969645,0.8668,5,1.8193487254,0.0328,2.6098994628,0.7148,3,1.7933253307,0.0132,2.783037509,0.8684,5,1.7661042019,0.0008,2.6282563334,0.7904,4,1.7531465471,0.1152,2.568128357,0.552,5
1.7511832833,0.428,2.1559672299,0.8036,2,1.8853229709,0.0108,3.0440554615,0.7076,4,1.8537742585,0.2492,2.9598555416,0.6264,5,1.8134503461,0.0524,3.1304364091,0.4124,8,1.7927278142,0.0448,2.46842978,0.8552,3,1.7769641993,0.2108,2.8149201517,0.9712,7,1.7451493151,0.0356,2.5119035641,0.7868,4
1.7494239928,0.2308,2.34350381,0.8808,3,1.8864933382,0.0132,2.8809146596,0.352,3,1.8510139744,0.0824,2.6676128961,0.8684,3,1.8201315527,0.1088,2.5889130936,0.2424,3,1.7933904722,0.1304,2.615115807,0.7964,4,1.7723686024,0.1256,2.6986940839,0.6184,5,1.7482965742,0.0668,2.5139967796,0.9128,5
1.7919067847,0.8308,2.3140938609,0.9076,3,1.8987725345,0.1288,2.9855467832,0.7936,4,1.8512163289,0.032,2.6339755094,0.654,3,1.8138151668,0.0388,2.9525336967,0.8724,5,1.7925769594,0.0044,2.6774406937,1,4,1.7741842757,0.016,2.4262615795,0.3144,3,1.7581627872,0.3308,2.167841867,0.2988,2
1.726471174,0.4388,2.16803202,0.7312,2,1.8870884831,0.008,2.8374622399,0.9128,3,1.8456968761,0.0192,3.1517586907,0.8788,6,1.8263303296,0.018,2.6057737255,0.9388,3,1.7910460192,0.1212,2.672666555,0.6928,4,1.769035762,0.0028,2.4353374793,0.676,3,1.75288331,0.07,2.5014253227,0.914,4
1.7507555255,0.6528,2.115753451,0.4064,2,1.8797015572,0.0024,3.1501632406,0.7452,4,1.8383839836,0.004,3.0353705603,0.9292,5,1.8258558873,0.1008,2.522041464,0.6612,3,1.7963942284,0.04,2.6321863935,0.7264,4,1.7706319828,0.0824,2.5961963866,0.6088,4,1.756858823,0.3864,2.4593935497,0.9704,4
1.7485430647,0.1348,2.8178370042,0.4696,5,1.8781361647,0.004,2.8917012819,0.626,3,1.8448057219,0.0804,2.9581544137,0.428,4,1.8156066159,0.0524,2.9471108986,0.3888,5,1.7905975935,0.1128,2.8309538872,0.8412,6,1.7677767056,0.03,2.6211561374,0.5784,4,1.7575015682,0.508,2.4599173931,0.1752,4
1.7654958356,0.2416,2.3903889339,0.7892,3,1.8970029708,0.114,2.7039265328,0.6628,3,1.8526900378,0.1436,3.0248815447,0.9952,5,1.8065890611,0.0176,2.7885553424,0.5412,4,1.7948050175,0.1316,2.6115749642,0.8724,4,1.7718805153,0.0352,2.5755254925,0.9704,4,1.7566036053,0.0072,2.385204423,0.1144,3
1.7489507645,0.1116,2.5336722042,0.994,4,1.8964354461,0.1,2.7009555924,0.68,3,1.8521607675,0.034,2.7386899354,0.7656,3,1.8128021105,0.0172,2.6050476187,0.7712,3,1.7922905419,0.0264,2.6227358529,0.8824,4,1.7715170439,0.022,2.7131946816,0.9932,6,1.753969693,0.2088,2.6821930828,0.8612,6
1.7463354983,0.2024,2.3330277065,0.556,3,1.8824314956,0.0116,3.1148394389,0.9916,4,1.8504805637,0.036,2.6787114052,0.9796,3,1.8152725992,0.034,2.7146590425,0.4916,4,1.7896844088,0.1176,2.7733888174,0.9216,5,1.7717857914,0.3724,2.5144516956,0.8044,4,1.7479084932,0.0276,2.5449717756,0.434,4
