onb,nu1,nu2,exp_all,pv_all,exp,pv,kmin
TRUE,0,0.2,1.8927058629,0.0148,2.7243793704,0.7088,3
TRUE,0,0.2,1.8911588054,0.1308,3.0008299413,0.7396,4
TRUE,0,0.2,1.8782652445,0,3.2875742831,0.8232,5
TRUE,0,0.2,1.888312216,0.0108,2.5308003459,0.0848,2
TRUE,0,0.2,1.8859795171,0.016,3.1192237893,0.8916,4
TRUE,0,0.2,1.891780756,0.0388,2.7812150814,0.1492,3
TRUE,0,0.2,1.8907065914,0.0064,2.736342621,0.7424,3
TRUE,0,0.2,1.8885467827,0.2072,3.1303347418,0.6256,4
TRUE,0,0.2,1.8961162428,0.0464,3.1751208015,0.7572,5
TRUE,0,0.2,1.8834620219,0.0048,2.8349161999,0.374,3
TRUE,0,0.2,1.8858136225,0.0292,3.1212998767,0.7664,7
TRUE,0,0.4,1.8883020508,0.0308,2.8015835794,0.8812,3
TRUE,0,0.4,1.890888817,0.1508,3.2122216485,0.8888,5
TRUE,0,0.4,1.888955402,0.0092,2.9685866195,0.708,4
TRUE,0,0.4,1.8884898564,0.0308,2.8026916403,0.2012,3
TRUE,0,0.4,1.8863292326,0.0072,3.0274819981,0.9104,4
TRUE,0,0.4,1.8832223987,0.0108,3.0337532368,0.5176,4
TRUE,0,0.4,1.8942475583,0.1584,2.4674082679,0.2848,2
TRUE,0,0.4,1.8876904742,0.0192,3.2077063099,0.8172,5
TRUE,0,0.4,1.8858917368,0.0176,3.0116129476,0.974,4
TRUE,0,0.4,1.8911427367,0.1492,3.0061399493,0.7952,4
TRUE,0,0.4,1.8918227948,0.0056,2.7579181709,0.696,3
TRUE,0,0.4,1.8904366192,0.0816,3.1071644301,0.9336,4
TRUE,0,0.4,1.8825685601,0.0256,3.0607540067,0.6704,4
TRUE,0,0.4,1.8935070956,0.0032,2.7907526837,0.7804,3
TRUE,0,0.4,1.8889143725,0.1884,3.2988358047,0.9936,5
TRUE,0,0.4,1.8870835591,0.0624,2.8085973667,0.5868,3
TRUE,0,0.4,1.8823594117,0.0336,3.6519051803,0.9108,7
TRUE,0,0.4,1.8846085955,0.044,3.0141907204,0.7764,4
TRUE,0,0.4,1.8927118207,0.7184,3.3159916445,0.442,5
TRUE,0,0.4,1.8902782184,0.134,3.158263497,0.9896,5
TRUE,0,0.4,1.8898507545,0.0316,3.1931879128,0.9908,5
TRUE,0,0.4,1.8871117133,0.0068,2.9596833471,0.8976,4
TRUE,0,0.4,1.8933271045,0.038,3.0559762933,0.9488,4
TRUE,0,0.4,1.8865765434,0.15,3.3309362305,0.9988,5
TRUE,0,0.4,1.8910472728,0.0028,2.8492802829,0.8068,3
TRUE,0,0.4,1.8830341796,0.1452,3.7220700592,0.4392,6
TRUE,0,0.4,1.8822643184,0.0012,2.8630813563,0.9168,3
TRUE,0,0.4,1.8879751734,0.0456,3.0314614269,0.858,4
TRUE,0,0.4,1.8942185045,0.1128,3.0987151856,0.8684,5
TRUE,0,0.4,1.8842152092,0.0104,3.1098974428,0.9444,4
TRUE,0,0.4,1.8902902474,0.0348,3.0796617264,0.8116,4
TRUE,0,0.4,1.8812612133,0.0152,2.8835487217,0.9,3
TRUE,0,0.4,1.890690464,0.1012,2.460835689,0.3608,2
TRUE,0,0.4,1.89379932,0.026,3.0473110083,0.8768,4
TRUE,0,0.4,1.8907330635,0.0012,2.7525534939,0.372,3
TRUE,0,0.4,1.885426476,0.0048,3.165019559,0.8068,4
TRUE,0,0.4,1.8904803208,0.0548,3.0838768726,0.9948,4
TRUE,0,0.4,1.8876330323,0.0116,2.8203123137,0.9152,3
TRUE,0,0.4,1.888787495,0.044,2.7885449191,0.4944,3
TRUE,0,0.4,1.8886609606,0.0492,2.8556711964,0.6116,3
TRUE,0,0.4,1.8875811728,0.0036,2.7909532948,0.718,3
TRUE,0,0.4,1.8904205171,0.0332,2.7565864648,0.6064,3
TRUE,0,0.4,1.8771525333,0.0028,3.1474759575,0.364,4
TRUE,0,0.4,1.8898416417,0.0168,3.0244581725,0.8572,4
TRUE,0,0.4,1.8886432188,0.0284,3.0617822013,0.9192,4
TRUE,0,0.4,1.8916830081,0.0184,2.8476587405,0.8824,3
