nu1;nu2;exp_all;pv_all;exp;pv;kmin;ob
0.0;0.0;1.8874046962;0.0096;2.81645100398;0.5132;3.0;1
0.0;0.0;1.88721864423;0.0296;3.10747004663;0.788;4.0;1
0.0;0.0;1.89315940648;0.0068;2.76752522989;0.9484;3.0;1
0.0;0.0;1.89075148604;0.0136;2.85986321692;0.8856;3.0;1
0.0;0.0;1.88675401843;0.3348;3.48755860684;0.84;6.0;1
0.0;0.0;1.88842075184;0.0816;3.53753959986;0.8384;6.0;1
0.0;0.0;1.88818299495;0.0136;2.77422622677;0.5876;3.0;1
0.0;0.0;1.88450694884;0.0272;2.81176027089;0.706;3.0;1
0.0;0.0;1.88454920939;0.0028;2.85912635796;0.7168;3.0;1
0.0;0.0;1.88706488559;0.0596;3.21495617525;0.5488;5.0;1
0.0;0.0;1.89132682242;0.1936;2.96185398369;0.8244;4.0;1
0.0;0.0;1.88890733539;0.02;3.00382204103;0.9056;4.0;1
0.0;0.0;1.88490059239;0.0044;3.1799818486;0.9988;6.0;1
0.0;0.0;1.88998180876;0.044;2.4560108802;0.2048;2.0;1
0.0;0.0;1.88662462442;0.0412;3.60434341409;0.382;7.0;1
0.0;0.0;1.88579353809;0.0068;2.83000818422;0.73;3.0;1
0.0;0.0;1.8850779698;0.1008;2.77347493422;0.554;3.0;1
0.0;0.0;1.88361920894;0.0204;3.07426262818;0.5288;4.0;1
0.0;0.0;1.88748331289;0.0;2.81556490276;0.9856;3.0;1
0.0;0.2;1.88053566019;0.0008;3.02258095719;0.9692;4.0;1
0.0;0.2;1.89062928399;0.002;2.92714719897;0.9076;4.0;1
0.0;0.2;1.8900514147;0.0736;2.48606654236;0.3408;2.0;1
0.0;0.2;1.89242960149;0.036;3.20453467279;0.7852;5.0;1
0.0;0.2;1.87714869714;0.0008;3.13571913754;0.8932;4.0;1
0.0;0.2;1.88558925702;0.042;3.03363879477;0.6248;4.0;1
0.0;0.2;1.88977530975;0.2304;3.36745111917;0.53;10.0;1
0.0;0.2;1.88598006002;0.0564;2.49615033089;0.3716;2.0;1
0.0;0.2;1.87926651701;0.0028;2.87147045916;0.31;3.0;1
